code,meaning
---,---
country,'country code'
10,'singapore'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
8,"""can't choose"""
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
8,"""can't choose"""
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
9,'decline to answer'
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
3,'so-so [not good nor bad]'
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
9,'decline to answer'
q6,   'what do you think the economic situation of your family will be a few years from now?'
8,"""can't choose"""
q6,   'what do you think the economic situation of your family will be a few years from now?'
9,'decline to answer'
q8,'the courts'
9,'decline to answer' /
q9,'national government in the capital city'
9,'decline to answer' /
q11,'parliament'
9,'decline to answer' /
q16,'16 newspaper'**
3,'quite a lot of trust'
q17,'17 television'**
3,'quite a lot of trust'
q24,"'how much trust do you have in esch of the following types of people? ""your relatives"" '"
4,'a great deal of trust'
q49,'how interested would you say you are in politics?'
3,'somewhat interested'
q50,'how often do you follow news about politics and government?'*
4,' several times a week'
q50,'how often do you follow news about politics and government?'*
5,' everyday'
q52,"'when you get together with your family members or friends, how often do you discuss political matters?(new)'"
2,'occasionally'
q53,'how much impact do you feel government policies have on your daily life? (hong kong: beijing government)'*
1,'no impact at all'
q53,'how much impact do you feel government policies have on your daily life? (hong kong: beijing government)'*
3,'quite some impact'
q62,"'when dealing with others, securing onexa5x8cs immediate interests should be more important than developing a long-term relationship. (new)'"
8,'canxa5x8ct choose'
q66,'how often do you use the internet? (new)'*
5,'hardly ever'
q66,'how often do you use the internet? (new)'*
7,'do not understand the question'
q67,'how closely do you follow major events in foreign countries / the world? (new)'*
3,'not too closely'
q79,   'contacted government (administrative) official.'
3,'never done'
q81,   'contacted elected officials or legislative representatives at any level.'
3,'never done'
q92," 'people often differ in their views on the characteristic that is essential to democracy. if you have to choose only one of the things that i am going to read, which one would you choose as the most essential to a democracy? (please read out options 1 to 4) (new)'"
1,'opportunity to change the government through elections'
q92," 'people often differ in their views on the characteristic that is essential to democracy. if you have to choose only one of the things that i am going to read, which one would you choose as the most essential to a democracy? (please read out options 1 to 4) (new)'"
7,'don't understand'
q95, 'where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? '
5,
q108,   'everyone is treated equally by the government.'
8,'canxa5x8ct choose'
q119,   'have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?'
8,'canxa5x8ct choose'
q119,   'have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?'
9,'decline to answer'
q120,"   'in your opinion, is the government working to crackdown corruption and root out bribes? (new)'"
0,'it is doing this effectively'
q121,   'which of the following statements comes closest to your own opinion?'
7,'don't understand'
q122,   'which of the following statements comes closer to your own view?'
7,'don't understand'
q123,"   'if you had to choose between democracy and economic development, which would you say is more important?'"
1,'economic development is definitely more important  '
q123,"   'if you had to choose between democracy and economic development, which would you say is more important?'"
7,'don't understand'
q124,   'we should get rid of parliament and elections and have a strong leader decide things. '
2,'approve'
q127,   'i think i have the ability to participate in politics.'
2,'somewhat agree'
q128,   'sometimes politics and government seems so complicated that a person like me canxa5x8ct really understand what is going on.'
3,'somewhat disagree'
se6,'religion'
40,'islam'
se6,'religion'
70,'other asian religions'
---,---
q1,   'how would you rate the overll economic condition of our country today?'
5,'very good'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
5,'much better'
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
5,'much better'
q8,'the courts'
4,'a great deal of trust'
q9,'national government in the capital city'
4,'a great deal of trust'
q10,'political parties'
4,'a great deal of trust'
q11,'parliament'
4,'a great deal of trust'
q13,'the military'
4,'a great deal of trust'
q14,'the police'
4,'a great deal of trust'
q48,'how would you describe the present political situation in our country? (new)'*
1,'very good'
q116,   'how well do you think the government responds to what people want?'
1,'very responsive'
q133,   'people with little or no education should have as much say in politics as highly-educated people.'
9,'decline to answer'
q140,"   'if people have too many different ways of thinking, society will be chaotic.'"
7,'don't understand'
---,---
level3,'urban-rural'
1,'very bad'
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
2,'bad'
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
3,'about the same'
q6,   'what do you think the economic situation of your family will be a few years from now?'
3,'about the same'
q8,'the courts'
2,'not very much trust'
q9,'national government in the capital city'
8,"""can't choose"""
q10,'political parties'
8,"""can't choose"""
q13,'the military'
8,"""can't choose"""
q14,'the police'
2,'not very much trust'
