code,meaning
---,---
q14,'the police'
1,'none at all'
q12,'civil service'
1,'none at all'
country,'country code'
1,'japan
---,---
country,'country code'
10,'singapore'
se6,'religion'
70,'other asian religions'
country,'country code'
13,'malaysia'
q62,"'when dealing with others, securing onexa5x8cs immediate interests should be more important than developing a long-term relationship. (new)'"
4,'strongly disagree'
---,---
country,'country code'
10,'singapore'
se6,'religion'
70,'other asian religions'
country,'country code'
13,'malaysia'
q62,"'when dealing with others, securing onexa5x8cs immediate interests should be more important than developing a long-term relationship. (new)'"
4,'strongly disagree'
---,---
country,'country code'
4,'china'
q20,are you a member of any organization or formal groups?*
1,'yes'
---,---
q98," 'here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. if xa5xa71xa5xa8 means that democracy is completely unsuitable for [name of country] today and xa5xa710xa5xa8 means that it is  completely suitable, where would you place our country today?'"
1,'democracy is completely unsuitable'
country,'country code'
6,'philippines'
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
2,'no'
---,---
country,'country code'
7,'taiwan'
se6,'religion'
77,'i-kuan tao'
---,---
q77,'the most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure.'*
3,'somewhat disagree'
country,'country code'
9,'indonesia'
q73,'the best way to deal with complicated political issues should be to leave them to the future. (new)'*
3,'somewhat disagree'
q155,"   'given the chance, how willing would you be to go and live in another country? (new)'"
2,'willing'
---,---
q1,   'how would you rate the overll economic condition of our country today?'
1,'very bad'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
1,'much worse'
---,---
q1,   'how would you rate the overll economic condition of our country today?'
1,'very bad'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
1,'much worse'
---,---
q93," 'on the whole, how satisfied or dissatisfied are you with the way democracy works in [country].  are you xa5k?'"
2,'not very satisfied'
q11,'parliament'
2,'not very much trust'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
2,'a little worse'
---,---
q56,"'even if parents' demands are unreasonable, children still should do what they ask.'"
2,'somewhat agree'
q25,"'how much trust do you have in esch of the following types of people? ""your neighbors"" '"
2,'not very much trust'
q68,"'have you traveled abroad before? if you have, how often do you travel abroad? (new)'*"
5,'never'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
4,'a little better'
---,---
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
8,"""can't choose"""
q141,"   'when the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.'"
9,'decline to answer'
---,---
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
9,'decline to answer'
q76,"'for the sake of the national community/society, the individual should be prepared to sacrifice his/her personal interest. '"
9,'decline to answer'
---,---
q123,"   'if you had to choose between democracy and economic development, which would you say is more important?'"
5,'they are both equally important '
q109,"   'people have basic necessities like food, clothes, and shelter.'"
2,'somewhat agree'
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
4,'a little better'
---,---
q16,'16 newspaper'**
4,'a great deal of trust'
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
5,'much better'
q15,'local government
4,'a great deal of trust'
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
5,'much better now'
---,---
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
8,"""can't choose"""
se13,   'subjective social status. people sometimes think of the social status of their families in terms of being high or low. imagine a ladder with 10 steps. at step one stand the lowest status and step 10 stand the highest. where would you place your family on the following scale?'
97,don't understand
---,---
q9,'national government in the capital city'
3,'quite a lot of trust'
q14,'the police'
3,'quite a lot of trust'
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
3,'so-so [not good nor bad]'
---,---
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
4,'good'
q108,   'everyone is treated equally by the government.'
2,'somewhat agree'
---,---
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
8,"""can't choose"""
q56,"'even if parents' demands are unreasonable, children still should do what they ask.'"
8,'canxa5x8ct choose'
---,---
q15,'local government
2,'not very much trust'
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
3,'about the same'
se13,   'subjective social status. people sometimes think of the social status of their families in terms of being high or low. imagine a ladder with 10 steps. at step one stand the lowest status and step 10 stand the highest. where would you place your family on the following scale?'
3,
---,---
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
5,'much better'
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
5,'much better now'
q17,'17 television'**
4,'a great deal of trust'
---,---
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
8,"""can't choose"""
q16,'16 newspaper'**
8,"""can't choose"""
---,---
se6,'religion'
77,'i-kuan tao'
q6,   'what do you think the economic situation of your family will be a few years from now?'
1,'much worse'
---,---
q152,"   'citizens should always obey laws and regulations, even if they disagree with them.(new)'**"
3,'somewhat disagree'
q110,   'people are free to speak what they think without fear.'
3,'somewhat disagree'
q8,'the courts'
2,'not very much trust'
q6,   'what do you think the economic situation of your family will be a few years from now?'
3,'about the same'
---,---
q25,"'how much trust do you have in esch of the following types of people? ""your neighbors"" '"
1,'none at all'
q6,   'what do you think the economic situation of your family will be a few years from now?'
5,'much better'
---,---
se4,'marital status'
9,'decline to answer'
q6,   'what do you think the economic situation of your family will be a few years from now?'
9,'decline to answer'
---,---
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
1,'much worse'
q17,'17 television'**
1,'none at all'
q104,   'our current courts always punish the guilty even if they are high-ranking officials.'n
4,'strongly disagree'
q8,'the courts'
1,'none at all'
---,---
q8,'the courts'
4,'a great deal of trust'
q14,'the police'
4,'a great deal of trust'
